game_id,espn_game_id,game_uid,season,season_type,date,week,home_away,winner,team_id,team_uid,team_city,team_name,team_abbr,team_full,team_color,team_color_alt,team_logo,team_order,team_score,team_record,pass_att,pass_cmp,pass_yds,pass_avg,pass_td,pass_int,pass_sacks,pass_sack_yds,pass_qbr,pass_rtg,rush_att,rush_yds,rush_avg,rush_td,rush_long,rec_total,rec_yds,rec_avg,rec_td,rec_long,rec_tgts,fum_total,fum_lost,fum_rec,def_tkl,def_solo_tkl,def_sacks,def_tfl,def_pd,def_qb_hts,def_td,int_total,int_yds,int_td,kick_ret_no,kick_ret_yds,kick_ret_avg,kick_ret_long,kick_ret_td,punt_ret_no,punt_ret_yds,punt_ret_avg,punt_ret_long,punt_ret_td,kick_fg_made,kick_fg_att,kick_fg_pct,kick_long,kick_xp_made,kick_xp_att,kick_pts,punt_no,punt_yds,punt_avg,punt_tb,punt_in_20,punt_long,first_downs,pass_1st_downs,rush_1st_downs,first_downs_from_penalties,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,total_plays,total_yards,yards_per_play,total_drives,redzone_att,redzone_conv,penalties,pen_yards,turnovers,def_sp_tds,possess_time,current,wallclockAvailable,guid,boxscoreMinutes,gameNote
2025_02_WAS_GB,401772936,s:20~l:28~e:401772936,2025,2,2025-09-12T00:15Z,2,home,1,9,s:20~l:28~t:9,Green Bay,Packers,GB,Green Bay Packers,204e32,ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,0,27,2-0,19,31,269,9.4,2,0,2,23,NA,113.9,30,135,4.5,1,16,19,292,15.4,2,57,27,NA,NA,NA,60,42,4,3,8,12,0,NA,NA,NA,2,57,28.5,30,0,3,1,0.3,3,0,2,3,67,56,3,3,9,4,213,53.3,1,0,55,22,14,6,2,5,12,0,1,63,404,6.4,12,4,3,10,77,0,0,32:26,TRUE,TRUE,06cd3bcf-7a86-53d4-28e7-aa049dd36261,TRUE,NA
2025_02_CLE_BAL,401772726,s:20~l:28~e:401772726,2025,2,2025-09-14T17:00Z,2,away,0,5,s:20~l:28~t:5,Cleveland,Browns,CLE,Cleveland Browns,472a08,ff3c00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,17,0-2,28,48,208,4.6,2,1,2,11,NA,74.9,22,115,5.2,0,31,28,218,7.8,2,26,41,1,1,0,57,28,3,5,5,5,0,NA,NA,NA,5,94,18.8,25,0,1,0,0,0,0,1,1,100,38,2,2,5,5,223,37.2,0,3,53,17,10,7,0,7,18,1,3,72,323,4.5,12,2,2,6,42,2,0,31:49,TRUE,TRUE,539babc5-e5fb-753b-8ae1-c15032a91ef4,TRUE,NA
2025_02_CLE_BAL,401772726,s:20~l:28~e:401772726,2025,2,2025-09-14T17:00Z,2,home,1,33,s:20~l:28~t:33,Baltimore,Ravens,BAL,Baltimore Ravens,29126f,000000,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,0,41,1-1,19,29,197,7.8,4,0,3,28,NA,128.6,21,45,2.1,0,11,19,225,11.8,4,41,28,1,0,2,71,44,2,7,5,9,1,1,61,0,3,79,26.3,33,0,1,23,23,23,0,2,2,100,43,5,5,11,5,259,51.8,0,2,58,14,10,2,2,3,12,1,1,53,242,4.6,12,4,3,6,28,0,1,28:11,TRUE,TRUE,38248455-3da4-84e4-8090-98b5cc38ffdc,TRUE,NA
2025_02_JAX_CIN,401772725,s:20~l:28~e:401772725,2025,2,2025-09-14T17:00Z,2,away,0,30,s:20~l:28~t:30,Jacksonville,Jaguars,JAX,Jacksonville Jaguars,007487,d7a22a,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,1,27,1-1,24,42,261,6.5,3,2,1,10,NA,80.6,27,139,5.1,0,30,24,271,11.3,3,40,41,1,0,1,63,39,3,6,12,9,0,3,73,0,4,101,25.3,32,0,2,19,9.5,15,0,2,2,100,42,3,3,9,2,95,47.5,0,1,60,21,15,5,1,6,13,0,1,70,400,5.7,12,6,3,6,55,2,0,33:11,TRUE,TRUE,ca6fb778-cbf6-d9a3-3e93-01230335fcab,TRUE,NA
2025_02_JAX_CIN,401772725,s:20~l:28~e:401772725,2025,2,2025-09-14T17:00Z,2,home,1,4,s:20~l:28~t:4,Cincinnati,Bengals,CIN,Cincinnati Bengals,fb4f14,000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,0,31,2-0,28,45,302,7,3,3,3,15,NA,77.7,17,48,2.8,1,11,28,317,11.3,3,42,43,NA,NA,NA,69,43,1,2,8,4,0,2,4,0,6,154,25.7,37,0,1,11,11,11,0,1,1,100,31,4,4,7,3,166,55.3,0,2,63,24,17,5,2,6,14,1,1,65,350,5.4,11,4,3,3,29,3,0,26:49,TRUE,TRUE,75b8623b-8926-b411-0476-3d3602b78523,TRUE,NA
2025_02_NYG_DAL,401772834,s:20~l:28~e:401772834,2025,2,2025-09-14T17:00Z,2,away,0,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,003c7f,c9243f,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,37,0-2,30,41,422,11,3,1,3,28,NA,123,21,84,4,1,24,30,450,15,3,52,40,1,0,0,87,63,3,9,8,7,0,1,0,0,6,161,26.8,30,0,3,38,12.7,21,0,3,3,100,38,4,4,13,3,135,45,0,0,50,22,15,6,1,6,14,1,2,65,506,7.8,12,5,1,14,160,1,0,32:39,TRUE,TRUE,378600ea-2397-8364-8399-b7c1606a49a7,TRUE,NA
2025_02_NYG_DAL,401772834,s:20~l:28~e:401772834,2025,2,2025-09-14T17:00Z,2,home,1,6,s:20~l:28~t:6,Dallas,Cowboys,DAL,Dallas Cowboys,002a5c,b0b7bc,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,0,40,1-1,38,52,343,6.9,2,1,3,18,NA,96.7,28,135,4.8,2,30,38,361,9.5,2,33,52,1,0,1,81,38,3,4,2,6,0,1,0,0,9,209,23.2,30,0,1,2,2,2,0,4,4,100,64,4,4,16,4,191,47.8,0,2,53,32,18,8,6,6,14,1,1,83,478,5.8,14,3,3,12,106,1,0,37:21,TRUE,TRUE,b0fc8fb7-9dbe-e574-9008-6f0ee7c6b234,TRUE,NA
2025_02_CHI_DET,401772835,s:20~l:28~e:401772835,2025,2,2025-09-14T17:00Z,2,away,0,3,s:20~l:28~t:3,Chicago,Bears,CHI,Chicago Bears,0b1c3a,e64100,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,21,0-2,21,33,205,7.1,2,1,4,29,NA,92.2,27,134,5,1,20,21,234,11.1,2,37,33,2,1,1,66,42,0,4,0,4,0,NA,NA,NA,8,215,26.9,36,0,2,16,8,10,0,0,0,0,0,3,3,3,4,212,53,0,1,62,19,11,7,1,7,13,0,2,64,339,5.3,13,2,2,8,50,2,0,29:40,TRUE,TRUE,19d73366-b5a5-cca2-a176-a2c024ce0bb3,TRUE,NA
2025_02_CHI_DET,401772835,s:20~l:28~e:401772835,2025,2,2025-09-14T17:00Z,2,home,1,8,s:20~l:28~t:8,Detroit,Lions,DET,Detroit Lions,0076b6,bbbbbb,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,0,52,1-1,23,28,334,11.9,5,0,0,0,NA,156,30,177,5.9,2,42,23,334,14.5,5,64,28,0,0,1,71,46,4,5,5,4,0,1,0,0,2,48,24,28,0,3,19,6.3,16,0,1,2,50,34,7,7,10,3,147,49,0,2,62,25,15,10,0,4,10,1,1,58,511,8.8,12,7,6,3,28,0,0,30:20,TRUE,TRUE,56caffee-178d-f6f2-a076-b277486b8c32,TRUE,NA
2025_02_NE_MIA,401772728,s:20~l:28~e:401772728,2025,2,2025-09-14T17:00Z,2,away,1,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,002a5c,c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,33,1-1,19,23,211,10,2,0,3,19,NA,137.3,29,122,4.2,1,21,19,230,12.1,2,55,23,1,0,1,61,42,5,6,2,5,1,1,20,0,6,171,28.5,90,1,1,8,8,8,0,2,2,100,53,1,3,7,2,136,68,0,0,71,18,9,8,1,7,12,1,1,55,333,6.1,10,4,3,12,75,0,1,33:45,TRUE,TRUE,0078f353-fe3e-67ed-a42c-43cca0568e21,TRUE,NA
