game_id,espn_game_id,game_uid,season,season_type,date,week,home_away,winner,team_id,team_uid,team_city,team_name,team_abbr,team_full,team_color,team_color_alt,team_logo,team_order,team_score,team_record,pass_att,pass_cmp,pass_yds,pass_avg,pass_td,pass_int,pass_sacks,pass_sack_yds,pass_qbr,pass_rtg,rush_att,rush_yds,rush_avg,rush_td,rush_long,rec_total,rec_yds,rec_avg,rec_td,rec_long,rec_tgts,fum_total,fum_lost,fum_rec,def_tkl,def_solo_tkl,def_sacks,def_tfl,def_pd,def_qb_hts,def_td,int_total,int_yds,int_td,kick_ret_no,kick_ret_yds,kick_ret_avg,kick_ret_long,kick_ret_td,punt_ret_no,punt_ret_yds,punt_ret_avg,punt_ret_long,punt_ret_td,kick_fg_made,kick_fg_att,kick_fg_pct,kick_long,kick_xp_made,kick_xp_att,kick_pts,punt_no,punt_yds,punt_avg,punt_tb,punt_in_20,punt_long,first_downs,pass_1st_downs,rush_1st_downs,first_downs_from_penalties,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,total_plays,total_yards,yards_per_play,total_drives,redzone_att,redzone_conv,penalties,pen_yards,turnovers,def_sp_tds,possess_time,current,wallclockAvailable,guid,boxscoreMinutes
2026_01_NE_SEA,401872656,s:20~l:28~e:401872656,2026,2,2026-09-10T00:20Z,1,away,0,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,002a5c,c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,10,0-1,23,33,168,5.4,1,3,3,10,NA,54.9,31,109,3.5,0,16,23,178,7.7,1,19,31,NA,NA,NA,52,38,2,3,2,6,0,NA,NA,NA,4,107,26.8,29,0,NA,NA,NA,NA,NA,1,1,100,50,1,1,4,4,177,44.3,0,3,46,19,9,7,3,5,16,2,2,67,277,4.1,9,2,1,7,50,3,0,34:17,TRUE,TRUE,0078f353-fe3e-67ed-a42c-43cca0568e21,TRUE
2026_01_NE_SEA,401872656,s:20~l:28~e:401872656,2026,2,2026-09-10T00:20Z,1,home,1,26,s:20~l:28~t:26,Seattle,Seahawks,SEA,Seattle Seahawks,002a5c,69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,0,13,1-0,17,24,188,8.3,1,0,2,12,NA,109.7,22,97,4.4,0,14,17,200,11.8,1,45,24,NA,NA,NA,74,44,3,9,6,5,0,3,30,0,3,80,26.7,30,0,1,9,9,9,0,2,2,100,30,1,1,7,5,227,45.4,0,3,50,13,9,4,0,2,11,1,1,48,285,5.9,10,2,0,10,98,0,0,25:43,TRUE,TRUE,3767a23c-a17d-294f-288a-9086ad1f0680,TRUE
